post_date,title,author_name,blogUrl,basic_description,author_url,comments
"April 11, 2019 ",From The Creators Of Scrapy: Artificial Intelligence Data Extraction API,Ian Kerins,https://blog.scrapinghub.com/artificial-intelligence-data-extraction-api,,https://blog.scrapinghub.com/author/ian-kerins,0 Comment
"April 09, 2019 ",Scrapinghub’s New AI Powered Developer Data Extraction API for E-Commerce & Article Extraction,Ian Kerins,https://blog.scrapinghub.com/developer-data-extraction-api-for-product-article-extraction,,https://blog.scrapinghub.com/author/ian-kerins,0 Comment
"April 05, 2019 ",Solution Architecture Part 2: How to Define The Scope of Your Web Scraping Project,Ian Kerins,https://blog.scrapinghub.com/web-scraping-requirement-gathering,,https://blog.scrapinghub.com/author/ian-kerins,0 Comment
"March 28, 2019 ",How to Architect a Web Scraping Solution: The Step-by-Step Guide,Ian Kerins,https://blog.scrapinghub.com/architecting-a-web-scraping-solution,,https://blog.scrapinghub.com/author/ian-kerins,0 Comment
"March 15, 2019 ",St Patrick’s Day Special: Finding Dublin’s Best Pint of Guinness With Web Scraping,Ian Kerins,https://blog.scrapinghub.com/web-scraping-best-pint-of-guinness-dublin,,https://blog.scrapinghub.com/author/ian-kerins,0 Comment
"February 15, 2019 ",A Sneak Peek Inside Crawlera: The World’s Smartest Web Scraping Proxy Network,Ian Kerins,https://blog.scrapinghub.com/sneak-peek-inside-crawlera,,https://blog.scrapinghub.com/author/ian-kerins,0 Comment
"February 07, 2019 ",Why We Created Crawlera? The World’s Smartest Web Scraping Proxy Network,Ian Kerins,https://blog.scrapinghub.com/the-crawlera-story,,https://blog.scrapinghub.com/author/ian-kerins,0 Comment
"July 07, 2017 ",Scraping the Steam Game Store with Scrapy,Andre Perunicic,https://blog.scrapinghub.com/2017/07/07/scraping-the-steam-game-store-with-scrapy,,https://blog.scrapinghub.com/author/andre-perunicic,0 Comment
"December 15, 2016 ",How to Increase Sales with Online Reputation Management,Cecilia Haynes,https://blog.scrapinghub.com/2016/12/15/how-to-increase-sales-with-online-reputation-management,,https://blog.scrapinghub.com/author/cecilia-haynes,0 Comment
"November 24, 2016 ",How to Build your own Price Monitoring Tool,Valdir Stumm Jr,https://blog.scrapinghub.com/2016/11/24/how-to-build-your-own-price-monitoring-tool,,https://blog.scrapinghub.com/author/valdir-stumm-jr,0 Comment
